TYPE,YEAR,MONTH,Observations,YEAR-MONTH
Theft from Vehicle,2003,1,1438,2003-01-01
Theft from Vehicle,2003,2,1102,2003-02-01
Theft from Vehicle,2003,3,1251,2003-03-01
Theft from Vehicle,2003,4,1528,2003-04-01
Theft from Vehicle,2003,5,1873,2003-05-01
Theft from Vehicle,2003,6,1695,2003-06-01
Theft from Vehicle,2003,7,1445,2003-07-01
Theft from Vehicle,2003,8,1634,2003-08-01
Theft from Vehicle,2003,9,1470,2003-09-01
Theft from Vehicle,2003,10,1554,2003-10-01
Theft from Vehicle,2003,11,1332,2003-11-01
Theft from Vehicle,2003,12,1422,2003-12-01
Theft from Vehicle,2004,1,1319,2004-01-01
Theft from Vehicle,2004,2,1276,2004-02-01
Theft from Vehicle,2004,3,1523,2004-03-01
Theft from Vehicle,2004,4,1558,2004-04-01
Theft from Vehicle,2004,5,1494,2004-05-01
Theft from Vehicle,2004,6,1335,2004-06-01
Theft from Vehicle,2004,7,1426,2004-07-01
Theft from Vehicle,2004,8,1677,2004-08-01
Theft from Vehicle,2004,9,1743,2004-09-01
Theft from Vehicle,2004,10,1650,2004-10-01
Theft from Vehicle,2004,11,1689,2004-11-01
Theft from Vehicle,2004,12,1512,2004-12-01
Theft from Vehicle,2005,1,1516,2005-01-01
Theft from Vehicle,2005,2,1305,2005-02-01
Theft from Vehicle,2005,3,1408,2005-03-01
Theft from Vehicle,2005,4,1563,2005-04-01
Theft from Vehicle,2005,5,1530,2005-05-01
Theft from Vehicle,2005,6,1426,2005-06-01
Theft from Vehicle,2005,7,1323,2005-07-01
Theft from Vehicle,2005,8,1362,2005-08-01
Theft from Vehicle,2005,9,1316,2005-09-01
Theft from Vehicle,2005,10,1261,2005-10-01
Theft from Vehicle,2005,11,1271,2005-11-01
Theft from Vehicle,2005,12,1272,2005-12-01
Theft from Vehicle,2006,1,1492,2006-01-01
Theft from Vehicle,2006,2,1125,2006-02-01
Theft from Vehicle,2006,3,1326,2006-03-01
Theft from Vehicle,2006,4,1006,2006-04-01
Theft from Vehicle,2006,5,1197,2006-05-01
Theft from Vehicle,2006,6,1239,2006-06-01
Theft from Vehicle,2006,7,1206,2006-07-01
Theft from Vehicle,2006,8,1227,2006-08-01
Theft from Vehicle,2006,9,1178,2006-09-01
Theft from Vehicle,2006,10,1116,2006-10-01
Theft from Vehicle,2006,11,1313,2006-11-01
Theft from Vehicle,2006,12,1305,2006-12-01
Theft from Vehicle,2007,1,1307,2007-01-01
Theft from Vehicle,2007,2,966,2007-02-01
Theft from Vehicle,2007,3,1048,2007-03-01
Theft from Vehicle,2007,4,1048,2007-04-01
Theft from Vehicle,2007,5,1037,2007-05-01
Theft from Vehicle,2007,6,950,2007-06-01
Theft from Vehicle,2007,7,933,2007-07-01
Theft from Vehicle,2007,8,1107,2007-08-01
Theft from Vehicle,2007,9,1078,2007-09-01
Theft from Vehicle,2007,10,1025,2007-10-01
Theft from Vehicle,2007,11,911,2007-11-01
Theft from Vehicle,2007,12,817,2007-12-01
Theft from Vehicle,2008,1,781,2008-01-01
Theft from Vehicle,2008,2,867,2008-02-01
Theft from Vehicle,2008,3,1061,2008-03-01
Theft from Vehicle,2008,4,888,2008-04-01
Theft from Vehicle,2008,5,919,2008-05-01
